Shipment_ID,Latest_Delivery_Date,Delivery_Status
S00244,"2024-11-09 22:45:55",Delivered
S00245,"2024-02-21 06:29:33",Delivered
S00246,"2024-06-09 15:25:22",Delivered
S00247,"2024-10-05 18:06:09",Delivered
S00248,"2024-03-08 09:01:23",Delivered
S00249,"2024-08-31 17:27:47",Delivered
S00250,"2024-04-21 14:44:55","In Transit"
S00251,"2025-08-05 10:41:02",Delivered
S00252,"2024-09-11 11:34:36",Delivered
S00253,"2024-12-09 00:19:03",Delivered
S00254,"2025-04-21 22:54:26",Delivered
S00255,"2024-10-04 18:41:40",Delivered
S00256,"2024-10-13 06:43:25","In Transit"
S00257,"2025-02-25 22:54:03",Delivered
S00258,"2025-06-28 18:50:21",Delivered
S00259,"2025-05-04 06:27:37",Delivered
S00260,"2024-04-27 11:37:52",Delivered
S00261,"2025-08-03 16:34:42",Delivered
S00262,"2024-03-30 11:03:47",Delivered
S00263,"2024-07-26 21:29:06","In Transit"
S00264,"2024-04-30 15:59:00",Delivered
S00265,"2024-10-21 08:12:12",Delivered
S00266,"2024-06-21 03:31:09","In Transit"
S00267,"2024-08-25 12:43:48","In Transit"
S00268,"2025-07-24 01:39:19",Delivered
S00269,"2024-03-08 01:47:13",Delivered
S00270,"2024-01-12 05:19:16","In Transit"
S00271,"2024-05-01 07:40:12",Delivered
S00272,"2024-05-07 22:01:21",Delivered
S00273,"2024-03-05 23:30:10",Delivered
S00274,"2024-07-29 17:31:15",Delivered
S00275,"2024-12-09 23:15:59",Delivered
S00276,"2025-05-04 05:03:41",Delivered
S00277,"2024-03-07 14:42:29",Delivered
S00278,"2025-09-17 12:29:31",Delivered
S00279,"2024-02-01 15:01:55",Delivered
S00280,"2025-09-15 00:10:57",Delivered
S00281,"2024-10-22 19:44:34",Delivered
S00282,"2024-11-28 08:39:38",Delivered
S00283,"2025-04-23 03:16:38","In Transit"
S00284,"2024-01-09 19:41:25",Returned
S00285,"2024-04-27 02:07:42",Delivered
S00286,"2024-09-06 00:43:24",Delivered
S00287,"2024-09-13 20:17:23",Delivered
S00288,"2024-03-05 16:10:43",Delivered
S00289,"2024-11-04 21:06:59",Delivered
S00290,"2024-09-08 10:41:23",Returned
S00291,"2024-09-04 10:49:57",Delivered
S00292,"2024-06-06 21:32:29",Delivered
S00293,"2024-03-08 16:10:34",Delivered
S00294,"2024-12-08 23:52:32",Delivered
S00295,"2024-10-15 11:20:43",Delivered
S00296,"2025-03-30 11:29:31",Delivered
S00297,"2024-08-27 07:23:11","In Transit"
S00298,"2025-02-01 10:59:40",Delivered
S00299,"2025-02-02 10:27:56","In Transit"
S00300,"2025-08-25 15:12:33",Returned
S00301,"2024-03-30 18:15:59",Delivered
S00302,"2024-12-23 15:09:42",Delivered
S00303,"2024-04-29 11:50:46",Delivered
S00304,"2024-07-27 12:35:08",Delivered
S00305,"2024-11-16 02:39:03",Delivered
S00306,"2024-10-15 23:22:50",Delivered
S00307,"2024-05-12 23:28:11",Delivered
S00308,"2024-05-20 18:56:19",Delivered
S00309,"2024-04-16 01:05:34",Delivered
S00310,"2025-01-13 03:15:58",Delivered
S00311,"2024-04-11 20:00:44",Delivered
S00312,"2024-12-17 12:33:10",Delivered
S00313,"2025-07-25 06:03:58",Delivered
S00314,"2024-01-11 15:59:14",Delivered
S00315,"2025-06-08 02:22:57",Delivered
S00316,"2024-03-28 18:18:58","In Transit"
S00317,"2025-01-03 21:45:59",Delivered
S00318,"2025-01-27 10:16:54",Delivered
S00319,"2024-07-05 17:30:44",Delivered
S00320,"2024-04-17 00:01:39",Delivered
S00321,"2025-05-11 18:48:59",Delivered
S00322,"2024-06-15 23:56:38",Delivered
S00323,"2024-03-03 13:24:38",Delivered
S00324,"2024-03-21 06:49:53",Delivered
S00325,"2025-02-19 17:35:05",Delivered
S00326,"2024-03-12 09:00:42",Delivered
S00327,"2024-12-06 01:24:20","In Transit"
S00328,"2024-10-02 10:05:32",Delivered
S00329,"2024-02-23 16:10:06",Delivered
S00330,"2024-03-20 10:36:52",Delivered
S00331,"2025-08-29 15:56:03",Delivered
S00332,"2024-09-05 02:03:00",Delivered
S00333,"2025-01-16 13:28:59",Delivered
S00334,"2024-04-17 16:12:14",Delivered
S00335,"2025-05-07 04:43:40",Delivered
S00336,"2024-01-25 22:31:32",Delivered
S00337,"2024-05-04 07:34:58",Delivered
S00338,"2024-05-31 17:55:54",Delivered
S00339,"2025-07-09 04:26:38",Delivered
S00340,"2025-02-27 08:34:54","In Transit"
S00341,"2024-12-13 12:43:36",Delivered
S00342,"2025-06-21 09:19:42",Delivered
S00343,"2024-11-02 20:11:50",Delivered
S00344,"2025-07-18 22:58:28",Delivered
S00345,"2024-06-14 01:28:12",Delivered
S00346,"2025-05-19 00:07:08",Delivered
S00347,"2024-05-12 17:23:56",Delivered
S00348,"2025-03-30 07:41:56",Delivered
S00349,"2025-02-27 08:57:11",Delivered
S00350,"2024-11-10 10:43:18",Delivered
S00351,"2024-03-14 10:03:41",Delivered
S00352,"2024-07-27 05:29:59",Delivered
S00353,"2025-07-01 23:50:45",Delivered
S00354,"2024-04-10 01:30:51",Delivered
S00355,"2024-03-26 09:45:57",Delivered
S00356,"2024-11-18 21:04:54",Delivered
S00357,"2024-02-04 05:08:39",Returned
S00358,"2025-05-07 00:40:38",Delivered
S00359,"2024-09-03 14:24:12",Delivered
S00360,"2025-07-16 11:50:24",Delivered
S00361,"2024-07-18 10:16:52",Delivered
S00362,"2025-02-02 17:55:47",Delivered
S00363,"2024-08-30 11:17:29",Returned
S00364,"2024-12-01 06:08:22",Delivered
S00365,"2024-11-04 07:43:54",Delivered
S00366,"2025-08-29 06:53:06",Delivered
S00367,"2025-07-03 20:56:39",Delivered
S00368,"2025-03-14 11:35:28",Delivered
S00369,"2025-01-09 12:06:20",Delivered
S00370,"2025-05-13 20:10:38",Delivered
S00371,"2024-05-03 13:24:25",Delivered
S00372,"2024-09-27 01:47:38",Delivered
S00373,"2024-05-20 15:14:01",Delivered
S00374,"2024-06-08 16:30:02",Delivered
S00375,"2025-05-18 20:58:46",Delivered
S00376,"2025-08-10 07:33:01",Delivered
S00377,"2024-08-11 05:21:15",Delivered
S00378,"2024-01-10 23:53:08",Delivered
S00379,"2024-02-03 06:30:38",Delivered
S00380,"2025-02-27 10:21:16",Delivered
S00381,"2025-03-06 05:16:52",Delivered
S00382,"2024-11-23 03:41:02",Delivered
S00383,"2024-11-24 14:22:28","In Transit"
S00384,"2025-06-08 08:43:50","In Transit"
S00385,"2024-12-02 20:52:19",Delivered
S00386,"2024-07-30 10:40:08","In Transit"
S00387,"2025-07-12 15:35:00","In Transit"
S00388,"2025-07-29 21:44:36",Delivered
S00389,"2025-04-04 11:13:36",Delivered
S00390,"2024-03-21 01:59:37",Delivered
S00391,"2025-05-17 01:02:42",Delivered
S00392,"2025-09-22 01:59:58",Delivered
S00393,"2024-07-03 06:15:50",Delivered
S00394,"2025-01-20 04:46:49",Delivered
S00395,"2025-08-26 00:13:45",Delivered
S00396,"2024-03-28 05:15:53",Delivered
S00397,"2025-07-18 16:47:14",Delivered
S00398,"2024-04-18 02:50:07",Delivered
S00399,"2024-04-17 04:16:52",Delivered
S00400,"2025-01-12 22:47:48",Delivered
S00401,"2025-04-18 21:22:33",Delivered
S00402,"2025-01-14 01:38:25",Delivered
S00403,"2025-03-21 13:22:38",Delivered
S00404,"2025-08-29 04:53:08",Delivered
S00405,"2025-03-14 19:07:54",Delivered
S00406,"2024-09-26 13:04:29",Delivered
S00407,"2024-09-06 16:43:56",Delivered
S00408,"2025-07-29 05:38:44",Delivered
S00409,"2025-04-03 04:08:17",Delivered
S00410,"2025-05-06 10:06:51",Delivered
S00411,"2024-10-28 01:48:33",Delivered
S00412,"2025-08-11 14:28:33",Delivered
S00413,"2024-09-12 16:45:27",Delivered
S00414,"2024-05-11 10:38:32",Delivered
S00415,"2024-06-13 11:24:58",Delivered
S00416,"2025-05-28 15:19:12",Delivered
S00417,"2024-10-30 07:29:43",Delivered
S00418,"2024-09-02 10:11:07",Delivered
S00419,"2024-08-30 20:40:05",Delivered
S00420,"2025-10-02 03:06:27",Delivered
S00421,"2024-10-14 05:58:00","In Transit"
S00422,"2025-01-11 11:58:01",Delivered
S00423,"2024-02-16 18:16:21","In Transit"
S00424,"2025-03-04 09:13:25",Delivered
S00425,"2024-11-23 08:16:07",Delivered
S00426,"2024-08-16 05:02:04",Delivered
S00427,"2025-05-15 11:07:40",Delivered
S00428,"2024-03-18 03:43:17",Delivered
S00429,"2025-01-15 07:52:01",Delivered
S00430,"2024-07-01 20:05:50",Delivered
S00431,"2025-03-22 03:04:43",Delivered
S00432,"2024-02-22 22:36:32","In Transit"
S00433,"2025-07-28 17:48:38",Delivered
S00434,"2024-06-13 21:33:07",Delivered
S00435,"2025-07-11 04:24:12",Delivered
S00436,"2024-12-12 06:59:09",Delivered
S00437,"2024-06-05 11:47:23",Delivered
S00438,"2024-01-13 13:21:18",Delivered
S00439,"2024-04-01 19:55:04","In Transit"
S00440,"2024-09-14 12:28:44",Delivered
S00441,"2024-04-29 10:42:39",Delivered
S00442,"2024-04-08 10:37:34",Delivered
S00443,"2024-12-10 14:28:14",Delivered
S00444,"2025-02-23 03:25:32",Delivered
S00445,"2024-02-03 01:54:52",Delivered
S00446,"2025-08-07 20:28:19",Delivered
S00447,"2024-04-18 15:25:56",Delivered
S00448,"2024-04-11 00:26:43",Delivered
S00449,"2025-05-04 07:17:33",Delivered
S00450,"2024-11-22 11:50:02",Delivered
S00451,"2025-08-03 05:41:56",Delivered
S00452,"2024-09-03 13:06:11",Delivered
S00453,"2024-07-27 23:56:52",Delivered
S00454,"2024-09-30 18:07:50",Delivered
S00455,"2024-04-17 12:28:34",Delivered
S00456,"2025-04-19 20:03:16",Delivered
S00457,"2024-05-11 03:35:04",Delivered
S00458,"2025-01-21 16:04:22",Delivered
S00459,"2024-03-19 17:59:52",Delivered
S00460,"2024-08-24 10:34:36",Delivered
S00461,"2025-06-21 23:15:46",Delivered
S00462,"2024-11-06 21:48:08",Delivered
S00463,"2024-09-02 06:42:24",Delivered
S00464,"2024-10-27 23:16:30",Delivered
S00465,"2024-04-09 02:11:51",Delivered
S00466,"2024-09-09 22:07:34",Delivered
S00467,"2024-07-20 12:49:09",Delivered
S00468,"2025-05-16 19:42:51","In Transit"
S00469,"2024-12-06 16:50:46",Delivered
S00470,"2024-08-07 13:37:46",Delivered
S00471,"2025-03-11 14:12:07",Delivered
S00472,"2025-01-18 21:02:49",Delivered
S00473,"2024-10-03 15:41:46",Delivered
S00474,"2024-12-29 03:55:13",Delivered
S00475,"2024-04-20 04:08:12",Delivered
S00476,"2025-07-17 16:16:16",Delivered
S00477,"2024-06-12 08:10:34",Delivered
S00478,"2024-11-16 23:33:17",Delivered
S00479,"2024-09-23 11:09:05","In Transit"
S00480,"2024-07-27 06:46:38",Delivered
S00481,"2024-03-21 14:17:07",Delivered
S00482,"2025-04-17 22:41:11",Delivered
S00483,"2025-09-16 18:07:33",Delivered
S00484,"2024-11-02 09:26:00",Delivered
S00485,"2025-01-16 15:27:51",Delivered
S00486,"2025-01-20 02:31:57",Delivered
S00487,"2025-07-07 08:31:33",Delivered
S00488,"2024-07-31 04:27:07",Delivered
S00489,"2024-07-06 12:41:13",Delivered
S00490,"2025-06-18 18:31:08","In Transit"
S00491,"2024-03-03 07:02:44",Delivered
S00492,"2025-04-05 13:30:08",Delivered
S00493,"2024-11-22 07:23:08",Delivered
S00494,"2025-01-08 15:34:58",Delivered
S00495,"2024-12-11 20:17:49",Delivered
S00496,"2025-08-03 21:39:07",Delivered
S00497,"2024-08-28 03:07:03",Delivered
S00498,"2024-09-02 06:59:43",Delivered
S00499,"2024-10-23 09:01:59",Delivered
S00500,"2024-10-17 07:43:47",Delivered
S00501,"2024-05-04 09:06:10","In Transit"
S00502,"2024-04-17 03:37:44",Delivered
S00503,"2024-08-14 11:02:27","In Transit"
S00504,"2024-11-23 09:24:08",Delivered
S00505,"2024-03-10 22:15:20",Delivered
S00506,"2025-03-14 00:57:46","In Transit"
S00507,"2025-04-26 10:14:50",Delivered
S00508,"2025-06-22 23:46:39",Delivered
S00509,"2024-04-24 20:00:24",Delivered
S00510,"2024-06-14 04:13:11","In Transit"
S00511,"2025-07-19 02:53:32",Delivered
S00512,"2025-04-01 04:31:21",Delivered
S00513,"2025-02-18 23:49:13",Delivered
S00514,"2025-07-01 19:46:24",Delivered
S00515,"2025-07-07 05:24:50",Delivered
S00516,"2025-08-03 23:04:34",Delivered
S00517,"2024-08-15 09:13:25",Delivered
S00518,"2024-03-28 10:45:20",Delivered
S00519,"2025-01-11 19:17:03",Delivered
S00520,"2025-08-16 17:00:51",Delivered
S00521,"2024-07-25 23:56:53",Delivered
S00522,"2025-05-09 22:18:32",Delivered
S00523,"2025-01-20 12:24:46",Delivered
S00524,"2025-02-01 20:59:06",Delivered
S00525,"2024-04-15 01:09:48",Delivered
S00526,"2024-07-03 17:35:50",Delivered
S00527,"2025-08-05 04:56:31",Delivered
S00528,"2025-01-05 22:36:20",Delivered
S00529,"2024-07-01 23:51:53",Delivered
S00530,"2025-06-02 22:50:28",Delivered
S00531,"2024-08-10 03:03:24",Delivered
S00532,"2025-07-03 17:20:51","In Transit"
S00533,"2025-05-08 16:02:42",Delivered
S00534,"2024-11-15 17:48:27",Delivered
S00535,"2025-08-06 16:29:21",Delivered
S00536,"2024-06-03 00:17:41",Delivered
S00537,"2024-07-26 05:38:50",Delivered
S00538,"2024-01-23 12:50:51",Delivered
S00539,"2024-12-15 13:46:08",Delivered
S00540,"2024-02-29 05:56:54",Delivered
S00541,"2025-02-22 07:34:36",Delivered
S00542,"2024-11-05 23:00:50",Delivered
S00543,"2025-02-26 16:24:02",Delivered
S00544,"2024-04-23 03:43:19",Delivered
S00545,"2025-05-14 22:56:29",Delivered
S00546,"2025-03-13 07:00:29",Delivered
S00547,"2025-10-07 18:02:36",Delivered
S00548,"2024-02-13 20:50:12",Delivered
S00549,"2025-06-15 07:12:40",Delivered
S00550,"2025-08-15 22:27:31",Delivered
S00551,"2024-08-25 18:11:56",Delivered
S00552,"2024-12-28 21:45:17",Delivered
S00553,"2025-08-08 20:21:45",Delivered
S00554,"2024-07-19 19:05:59",Delivered
S00555,"2025-01-07 23:04:29",Returned
S00556,"2024-08-13 17:34:48",Delivered
S00557,"2024-05-19 19:28:13",Delivered
S00558,"2025-04-24 03:40:32",Delivered
S00559,"2024-08-31 02:13:23","In Transit"
S00560,"2025-03-12 10:10:16",Delivered
S00561,"2025-03-19 09:17:29",Delivered
S00562,"2024-03-28 15:39:11",Delivered
S00563,"2024-02-09 09:31:35",Delivered
S00564,"2025-06-11 23:14:02",Delivered
S00565,"2024-02-03 16:29:23",Delivered
S00566,"2024-04-24 07:16:07",Delivered
S00567,"2024-04-14 17:30:40",Delivered
S00568,"2025-05-06 19:58:25",Delivered
S00569,"2024-06-29 06:32:51",Delivered
S00570,"2025-05-17 01:14:56",Delivered
S00571,"2024-06-19 17:54:01",Delivered
S00572,"2025-01-28 08:56:48",Delivered
S00573,"2024-07-21 06:05:16",Delivered
S00574,"2024-08-19 00:04:08",Delivered
S00575,"2025-05-04 23:31:26",Returned
S00576,"2024-05-09 21:26:25",Delivered
S00577,"2024-08-09 11:43:16",Delivered
S00578,"2024-01-15 08:20:33",Delivered
S00579,"2024-10-05 14:48:39",Delivered
S00580,"2025-08-14 08:18:09",Delivered
S00581,"2024-04-20 01:54:26","In Transit"
S00582,"2024-11-10 15:21:00",Delivered
S00583,"2024-07-02 21:32:36",Delivered
S00584,"2024-11-14 22:47:14","In Transit"
S00585,"2024-12-10 17:44:19",Delivered
S00586,"2024-05-01 13:40:53","In Transit"
S00587,"2024-10-25 07:28:04",Delivered
S00588,"2024-07-06 07:38:24",Delivered
S00589,"2024-02-26 15:07:02",Delivered
S00590,"2024-03-01 04:05:49",Delivered
S00591,"2025-03-08 02:50:23",Delivered
S00592,"2025-08-29 03:07:37",Delivered
S00593,"2024-08-28 17:40:15",Delivered
S00594,"2025-06-20 19:10:35",Delivered
S00595,"2024-10-30 18:50:40",Delivered
S00596,"2024-07-27 14:48:47",Delivered
S00597,"2024-05-12 00:48:26",Delivered
S00598,"2025-08-31 20:39:47","In Transit"
S00599,"2024-12-30 02:03:04",Delivered
S00600,"2025-06-24 23:20:22","In Transit"
S00601,"2024-06-10 18:16:33",Delivered
S00602,"2024-11-27 23:23:52",Delivered
S00603,"2024-10-10 18:31:12",Delivered
S00604,"2024-05-03 19:31:22",Delivered
