Shipment_ID,Warehouse_ID,Ranking
S00058,W002,36
S00516,W002,37
S00854,W002,38
S00644,W002,39
S00942,W002,39
S00780,W002,40
S00809,W002,40
S00983,W002,40
S00171,W002,41
S00772,W002,41
S00572,W002,42
S00578,W002,42
S00885,W002,43
S00007,W002,43
S00936,W002,43
S00386,W002,44
S00562,W002,45
S00543,W002,45
S00926,W002,45
S00024,W002,45
S00213,W002,46
S00493,W002,46
S00637,W002,46
S00757,W002,47
S00177,W002,47
S00193,W002,47
S00051,W002,47
S00861,W002,47
S00664,W002,48
S00063,W002,48
S00408,W002,48
S00038,W002,48
S00970,W002,48
S00253,W002,48
S00405,W002,49
S00244,W002,49
S00630,W002,49
S00498,W002,50
S00564,W002,50
S00324,W002,50
S00436,W002,50
S00513,W002,50
S00880,W002,51
S00246,W002,52
S00660,W002,52
S00818,W002,53
S00163,W002,53
S00843,W002,54
S00319,W002,55
S00332,W002,55
S00624,W002,55
S00736,W002,55
S00084,W002,56
S00596,W002,56
S00531,W002,56
S00231,W002,57
S00728,W002,57
S00166,W002,57
S00925,W002,57
S00090,W002,57
S00469,W002,57
S00924,W003,1
S00771,W003,2
S00291,W003,3
S00039,W003,4
S00108,W003,5
S00304,W003,6
S00057,W003,7
S00640,W003,8
S00170,W003,9
S00440,W003,10
S00719,W003,11
S00569,W003,12
S00449,W003,13
S00347,W003,14
S00984,W003,15
S00642,W003,16
S00317,W003,17
S00109,W003,18
S00399,W003,19
S00804,W003,20
S00460,W003,21
S00570,W003,22
S00395,W003,23
S00226,W003,24
S00622,W003,25
S00194,W003,26
S00081,W003,27
S00167,W003,28
S00851,W003,29
S00092,W003,30
S00579,W003,31
S00803,W003,32
S00496,W003,33
S00305,W003,34
S00422,W003,35
S00307,W003,35
S00309,W003,36
S00030,W003,37
S00616,W003,38
S00334,W003,39
S00833,W003,40
S00688,W003,41
S00022,W003,42
S00884,W003,43
S00002,W003,44
S00963,W003,45
S00435,W003,46
S00371,W003,47
S00094,W003,48
S00207,W003,48
S00702,W003,48
S00381,W003,49
S00308,W003,49
S00988,W003,49
S00205,W003,50
S00437,W003,50
S00758,W003,50
S00095,W003,51
S00292,W003,52
S00864,W003,52
S00566,W003,53
S00068,W003,53
S00958,W003,54
S00214,W003,55
S00264,W003,56
S00920,W003,56
S00930,W003,56
S00656,W003,57
S00762,W003,57
S00786,W003,57
S00061,W003,58
S00689,W003,58
S00333,W003,58
S00787,W003,59
S00492,W003,59
S00236,W003,59
S00040,W003,59
S00474,W003,60
S00429,W003,60
S00300,W003,61
S00773,W003,61
S00341,W003,61
S00527,W003,62
S00522,W003,63
S00338,W003,64
S00111,W003,64
S00793,W003,65
S00869,W003,65
S00260,W003,65
S00729,W003,65
S00312,W003,66
S00647,W003,66
S00964,W003,66
S00139,W003,66
S00639,W003,66
S00229,W003,67
S00941,W003,67
S00607,W003,67
S00256,W003,68
S00085,W003,69
S00065,W003,70
S00471,W003,70
S00018,W003,70
S00294,W003,70
S00289,W003,70
S00674,W003,70
S00553,W003,70
S00548,W004,1
S00344,W004,2
S00421,W004,3
S00410,W004,4
S00649,W004,5
S00597,W004,6
S00982,W004,7
S00020,W004,8
S00245,W004,9
S00054,W004,10
S00137,W004,11
S00524,W004,12
S00574,W004,13
S00921,W004,14
S00272,W004,15
S00346,W004,16
S00121,W004,17
S00954,W004,18
S00777,W004,19
S00149,W004,20
S00143,W004,21
S00820,W004,22
S00635,W004,23
S00979,W004,24
S00501,W004,25
S00996,W004,26
S00388,W004,27
S00146,W004,28
S00828,W004,29
S00117,W004,29
S00788,W004,30
S00708,W004,31
S00258,W004,32
S00679,W004,32
S00946,W004,33
S00536,W004,34
S00416,W004,34
S00521,W004,34
S00668,W004,35
S00841,W004,36
S00351,W004,36
S00208,W004,36
S00695,W004,37
S00119,W004,38
S00797,W004,39
S00073,W004,39
S00031,W004,39
S00152,W004,40
S00763,W004,40
S00354,W004,41
S00626,W004,41
S00325,W004,41
S00698,W004,41
S00732,W004,41
S00629,W004,42
S00605,W004,43
S00853,W004,43
S00934,W004,43
S00552,W004,43
S00209,W004,43
S00303,W004,43
S00583,W004,44
S00377,W004,44
S00721,W004,45
S00165,W004,45
S00591,W004,46
S00844,W004,46
S00653,W004,46
S00792,W004,47
S00239,W004,47
S00776,W004,47
S00523,W004,48
S00567,W004,48
S00220,W004,48
S00913,W004,48
S00250,W004,49
S00265,W004,49
S00406,W004,49
S00297,W004,50
S00614,W004,50
S00587,W004,51
S00675,W004,51
S00561,W004,51
S00518,W004,52
S00225,W004,52
S00364,W004,53
S00079,W004,53
S00006,W004,53
S00249,W004,53
S00890,W004,53
S00490,W005,1
S00424,W005,2
S00101,W005,3
S00723,W005,4
S00659,W005,5
S00643,W005,6
S00766,W005,7
S00860,W005,8
S00288,W005,9
S00838,W005,10
S00826,W005,11
S00961,W005,12
S00098,W005,13
S00705,W005,14
S00882,W005,15
S00563,W005,16
S00987,W005,17
S00009,W005,18
S00694,W005,19
S00707,W005,20
S00696,W005,21
S00345,W005,22
S00392,W005,23
S00508,W005,24
S00836,W005,25
S00179,W005,25
S00584,W005,26
S00154,W005,27
S00608,W005,28
S00113,W005,29
S00302,W005,30
S00043,W005,30
S00228,W005,30
S00056,W005,31
S00204,W005,32
S00825,W005,32
S00361,W005,33
S00237,W005,34
S00385,W005,34
S00821,W005,34
S00532,W005,35
S00682,W005,35
S00363,W005,35
S00454,W005,36
S00783,W005,36
S00910,W005,37
S00222,W005,38
S00951,W005,39
S00227,W005,40
S00603,W005,40
S00752,W005,41
S00164,W005,41
S00234,W005,42
S00862,W005,42
S00538,W005,42
S00519,W005,42
S00604,W005,43
S00568,W005,44
S00045,W005,45
S00401,W005,45
S00378,W005,46
S00427,W005,46
S00881,W005,46
S00978,W005,47
S00353,W005,47
S00466,W005,47
S00557,W005,48
S00742,W005,48
S00067,W005,49
S00078,W005,49
S00138,W005,49
S00534,W005,49
S00952,W005,50
S00759,W005,50
S00464,W005,50
S00326,W005,50
S00102,W005,51
S00478,W005,51
S00540,W005,51
S00655,W005,51
S00071,W005,52
S00631,W005,52
S00923,W005,52
S00744,W005,52
S00610,W005,52
S00909,W005,52
S00162,W005,53
S00091,W005,53
S00097,W005,53
S00877,W005,54
S00261,W005,54
S00617,W005,55
S00962,W005,55
S00889,W005,55
S00118,W005,56
S00103,W005,56
S00066,W005,56
S00076,W005,56
S00133,W005,56
S00769,W005,56
S00585,W005,56
S00977,W005,56
S00096,W006,1
S00846,W006,2
S00120,W006,3
S00751,W006,4
S00692,W006,5
S00145,W006,6
S00684,W006,7
S00611,W006,8
S00446,W006,9
S00651,W006,10
S00130,W006,11
S00908,W006,12
S00475,W006,13
S00372,W006,14
S00875,W006,15
S00580,W006,16
S00943,W006,17
S00989,W006,18
S00594,W006,19
S00023,W006,20
S00710,W006,21
S00938,W006,22
S00116,W006,23
S00172,W006,24
S00770,W006,25
S00724,W006,26
S00314,W006,27
S00621,W006,28
S00545,W006,29
S00238,W006,30
S00247,W006,31
S00791,W006,32
S00662,W006,33
S00413,W006,33
S00650,W006,34
S00715,W006,35
S00037,W006,36
S00301,W006,37
S00318,W006,37
S00178,W006,37
S00279,W006,38
S00396,W006,38
S00912,W006,39
S00868,W006,39
S00313,W006,39
S00077,W006,40
S00632,W006,40
S00476,W006,41
S00445,W006,42
S00342,W006,42
S00709,W006,43
S00150,W006,43
S00831,W006,44
S00210,W006,45
S00197,W006,46
S00203,W006,47
S00114,W006,48
S00380,W006,48
S00990,W006,48
S00600,W006,49
S00801,W006,49
S00919,W006,49
S00918,W006,50
S00589,W006,50
S00747,W006,51
S00196,W006,52
S00059,W006,52
S00243,W006,52
S00115,W006,53
S00782,W006,53
S00514,W006,54
S00933,W006,54
S00306,W006,55
S00712,W006,55
S00442,W006,55
S00202,W006,55
S00526,W006,55
S00609,W006,55
S00270,W006,56
S00835,W006,56
S00691,W006,56
S00373,W006,56
S00423,W006,57
S00046,W006,58
S00966,W006,58
S00727,W006,59
S00233,W006,59
S00483,W006,60
S00151,W006,60
S00690,W006,61
S00099,W006,62
S00367,W006,62
S00198,W006,62
S00520,W006,62
S00390,W006,63
S00867,W006,63
S00683,W006,63
S00620,W006,63
S00625,W006,63
S00760,W007,1
S00576,W007,2
S00824,W007,3
S00432,W007,4
S00929,W007,5
S00287,W007,6
S00932,W007,7
S00182,W007,8
S00571,W007,9
S00785,W007,10
S00686,W007,11
S00431,W007,12
S00895,W007,13
S00937,W007,14
S00397,W007,15
S00673,W007,16
S00132,W007,17
S00316,W007,18
S00598,W007,19
S00083,W007,20
S00541,W007,21
S00503,W007,22
S00012,W007,23
S00013,W007,24
S00663,W007,25
S00746,W007,26
S00127,W007,27
S00725,W007,28
S00327,W007,29
S00599,W007,30
S00976,W007,31
S00586,W007,32
S00267,W007,33
S00491,W007,34
S00845,W007,35
S00903,W007,36
S00444,W007,37
S00749,W007,38
S00914,W007,39
S00362,W007,40
S00529,W007,41
S00870,W007,41
S00480,W007,41
S00781,W007,42
S00315,W007,42
S00394,W007,43
S00255,W007,44
S00200,W007,44
S00848,W007,45
S00273,W007,45
S00320,W007,45
S00730,W007,45
S00549,W007,45
S00866,W007,46
S00479,W007,46
S00879,W007,46
S00850,W007,47
S00544,W007,47
S00389,W007,48
S00888,W007,48
S00274,W007,48
S00368,W007,48
S00883,W007,49
S00945,W007,50
S00960,W007,51
S00806,W007,51
S00499,W007,52
S00159,W007,53
S00628,W007,54
S00357,W007,55
S00713,W007,56
S00575,W007,56
S00794,W007,56
S00128,W007,56
S00906,W007,57
S00026,W007,57
S00074,W007,57
S00281,W007,57
S00512,W007,57
S00810,W007,57
S00452,W007,58
S00188,W007,59
S00981,W007,59
S00465,W007,60
S00451,W007,60
S00375,W007,61
S00142,W007,61
S00731,W007,61
S00887,W007,62
S00218,W007,62
S00991,W007,62
S00219,W007,63
S00187,W007,63
S00487,W007,63
S00144,W007,64
S00044,W007,64
S00761,W008,1
S00015,W008,1
S00965,W008,2
S00360,W008,3
S00189,W008,4
S00155,W008,5
S00029,W008,6
S00717,W008,7
S00266,W008,8
S00750,W008,9
S00391,W008,10
S00021,W008,11
S00940,W008,12
S00488,W008,13
S00156,W008,14
S00509,W008,15
S00847,W008,16
S00224,W008,17
S00411,W008,18
S00829,W008,19
S00992,W008,20
S00646,W008,21
S00949,W008,22
S00032,W008,23
S00678,W008,24
S00559,W008,25
S00019,W008,26
S00412,W008,27
S00212,W008,28
S00430,W008,29
S00112,W008,30
S00275,W008,31
S00665,W008,32
S00400,W008,33
S00827,W008,34
S00623,W008,35
S00897,W008,36
S00232,W008,37
S00837,W008,38
S00106,W008,39
S00175,W008,40
S00582,W008,41
S00950,W008,41
S00693,W008,42
S00808,W008,43
S00185,W008,44
S00805,W008,45
S00813,W008,46
S00995,W008,47
S00618,W008,48
S00634,W008,49
S00235,W008,50
S00477,W008,51
S00685,W008,51
S00134,W008,52
S00738,W008,53
S00893,W008,54
S00195,W008,54
S00369,W008,54
S00285,W008,54
S00105,W008,54
S00633,W008,55
S00699,W008,56
S00089,W008,57
S00008,W008,58
S00230,W008,58
S00784,W008,58
S00136,W008,59
S00767,W008,59
S00716,W008,59
S00537,W008,60
S00533,W008,60
S00953,W008,60
S00075,W008,60
S00282,W008,60
S00849,W008,60
S00484,W008,61
S00734,W008,62
S00735,W008,62
S00506,W008,62
S00872,W008,62
S00931,W008,63
S00720,W008,63
S00899,W008,63
S00530,W008,63
S00242,W008,64
S00293,W008,64
S00504,W008,64
S00799,W008,65
S00817,W008,65
S00834,W008,65
S00221,W008,65
S00201,W008,66
S00740,W008,66
S00467,W008,66
S00462,W008,66
S00714,W008,67
S00184,W008,67
S00959,W008,67
S00407,W008,67
S00403,W008,68
S00878,W008,68
S00060,W008,68
S00495,W008,68
S00001,W008,68
S00565,W008,68
S00240,W008,68
S00340,W008,68
S00972,W008,68
S00350,W008,68
S00778,W008,68
S00748,W008,68
S00157,W009,1
S00035,W009,2
S00528,W009,3
S00158,W009,4
S00036,W009,5
S00822,W009,6
S00627,W009,7
S00494,W009,8
S00365,W009,9
S00595,W009,10
S00131,W009,11
S00968,W009,12
S00588,W009,13
S00277,W009,14
S00062,W009,15
S00409,W009,16
S00815,W009,17
S00055,W009,18
S00439,W009,19
S00556,W009,20
S00636,W009,21
S00223,W009,22
S00894,W009,23
S00352,W009,24
S00986,W009,25
S00426,W009,26
S00601,W009,27
S00284,W009,28
S00606,W009,29
S00922,W009,30
S00123,W009,31
S00180,W009,32
S00160,W009,32
S00122,W009,33
S00447,W009,34
S00916,W009,34
S00558,W009,35
S00975,W009,36
S00502,W009,37
S00419,W009,37
S00441,W009,37
S00358,W009,37
S00383,W009,38
S00168,W009,39
S00687,W009,40
S00955,W009,40
S00206,W009,40
S00652,W009,40
S00257,W009,40
S00014,W009,41
S00935,W009,42
S00554,W009,42
S00199,W009,42
S00104,W009,43
S00425,W009,43
S00296,W009,43
S00592,W009,43
S00336,W009,44
S00939,W009,44
S00542,W009,44
S00726,W009,44
S00005,W009,45
S00387,W009,45
S00355,W009,45
S00183,W009,45
S00456,W009,45
S00517,W009,46
S00957,W009,46
S00814,W009,46
S00701,W009,46
S00276,W009,47
S00269,W009,47
S00124,W009,47
S00505,W009,47
S00359,W009,47
S00613,W009,48
S00458,W009,48
S00500,W009,48
S00125,W009,48
S00140,W009,49
S00457,W009,50
S00661,W009,50
S00322,W009,50
S00654,W009,50
S00216,W009,51
S00755,W009,51
S00331,W009,51
S00370,W009,51
S00497,W009,51
S00459,W009,51
S00472,W009,51
S00174,W010,1
S00052,W010,2
S00638,W010,3
S00973,W010,4
S00677,W010,5
S00217,W010,6
S01000,W010,7
S00335,W010,8
S00191,W010,9
S00892,W010,10
S00956,W010,11
S00948,W010,12
S00481,W010,13
S00489,W010,14
S00667,W010,14
S00842,W010,15
S00865,W010,16
S00555,W010,17
S00904,W010,18
S00807,W010,19
S00743,W010,20
S00473,W010,21
S00789,W010,22
S00993,W010,23
S00577,W010,24
S00706,W010,25
S00980,W010,26
S00917,W010,27
S00612,W010,28
S00374,W010,29
S00911,W010,30
S00330,W010,31
S00176,W010,32
S00641,W010,33
S00402,W010,34
S00110,W010,35
S00311,W010,36
S00248,W010,37
S00680,W010,38
S00017,W010,38
S00348,W010,39
S00671,W010,40
S00615,W010,40
S00420,W010,41
S00672,W010,42
S00546,W010,42
S00186,W010,42
S00064,W010,43
S00298,W010,44
S00126,W010,44
S00271,W010,45
S00547,W010,45
S00070,W010,45
S00215,W010,45
S00657,W010,45
S00147,W010,46
S00947,W010,47
S00907,W010,48
S00415,W010,48
S00515,W010,48
S00551,W010,48
S00985,W010,48
S00619,W010,49
S00944,W010,49
S00011,W010,49
S00434,W010,50
S00830,W010,50
S00356,W010,50
S00898,W010,50
S00711,W010,50
S00100,W010,50
S00087,W010,51
S00676,W010,51
S00280,W010,52
S00290,W010,53
S00088,W010,53
S00900,W010,53
S00915,W010,53
S00718,W010,53
S00858,W010,53
S00252,W010,54
S00971,W010,55
S00323,W010,55
S00268,W010,55
S00463,W010,55
S00666,W010,56
S00080,W010,57
S00800,W010,57
S00047,W010,57
S00645,W010,58
S00856,W010,58
S00053,W010,58
S00602,W010,58
S00135,W010,58
S00839,W010,59
S00753,W010,59
S00832,W010,59
S00211,W010,59
S00823,W010,59
S00259,W010,59
S00470,W010,59
S00382,W010,59
S00190,W010,59
