Shipment_ID,Order_ID,Agent_ID,Route_ID,Warehouse_ID,Pickup_Date,Delivery_Date,Delivery_Status,Delay_Hours,Delivery_Feedback,Delay_Reason
S00078,O0264,A0030,R016,W005,2024-08-31 20:24:54,2024-09-02 12:30:10,Delivered,0.8,Positive,Weather
S00079,O0202,A0033,R015,W004,2025-05-24 07:43:57,2025-05-25 01:04:48,Delivered,0,Positive,None
S00080,O0026,A0019,R016,W010,2024-04-27 22:41:53,2024-04-29 15:30:32,Delivered,0.2,Positive,Technical Issue
S00081,O0005,A0007,R014,W003,2024-07-25 12:58:44,2024-07-28 08:17:12,Delivered,27.2,Positive,Weather
S00082,O0188,A0003,R013,W001,2024-09-01 06:05:13,2024-09-02 22:19:44,Delivered,0.7,Neutral,Technical Issue
S00083,O0284,A0019,R003,W007,2025-04-03 19:04:20,2025-04-06 16:58:05,Delivered,38.8,Positive,Traffic
S00084,O0144,A0040,R020,W002,2024-04-28 09:28:57,2024-04-29 06:38:03,Returned,0.1,Positive,Traffic
S00085,O0174,A0036,R012,W003,2024-01-15 18:50:09,2024-01-17 14:52:18,Delivered,0.1,Positive,Technical Issue
S00086,O0257,A0003,R002,W001,2024-09-29 07:39:41,2024-09-30 19:36:34,Delivered,17.3,Positive,Weather
S00087,O0266,A0030,R005,W010,2024-06-11 20:11:40,2024-06-13 03:35:08,Delivered,0.8,Positive,Traffic
S00088,O0164,A0011,R013,W010,2025-07-26 06:13:29,2025-07-27 11:19:16,In Transit,0.6,Positive,Technical Issue
S00089,O0260,A0033,R018,W008,2025-08-03 08:26:15,2025-08-05 06:47:47,Delivered,1.1,Positive,Traffic
S00090,O0009,A0024,R011,W002,2024-04-13 10:19:19,2024-04-14 01:38:28,Delivered,0,Negative,None
S00091,O0014,A0039,R016,W005,2024-09-01 00:44:19,2024-09-02 18:50:18,Delivered,0.3,Positive,Weather
S00092,O0027,A0038,R016,W003,2024-03-11 12:54:39,2024-03-13 22:00:51,In Transit,26.1,Positive,Traffic
S00093,O0195,A0010,R008,W001,2024-12-01 01:58:53,2024-12-02 05:57:35,Delivered,5.8,Positive,Traffic
S00094,O0226,A0021,R014,W003,2025-04-15 07:58:55,2025-04-16 15:15:03,Delivered,2.7,Neutral,Traffic
S00095,O0242,A0048,R002,W003,2025-02-02 01:08:31,2025-02-02 21:26:50,In Transit,2.4,Positive,Technical Issue
S00096,O0245,A0034,R013,W006,2025-08-03 18:31:17,2025-08-14 11:15:39,Delivered,210.9,Positive,Technical Issue
S00097,O0176,A0035,R012,W005,2025-05-08 21:46:55,2025-05-10 20:59:55,Delivered,0.3,Positive,Traffic
S00098,O0127,A0018,R018,W005,2025-08-22 11:32:48,2025-08-28 00:12:02,Delivered,71.6,Positive,Traffic
S00099,O0107,A0045,R016,W006,2024-11-29 05:37:44,2024-11-30 15:18:47,Delivered,0.2,Neutral,Traffic
S00100,O0141,A0019,R004,W010,2024-06-11 04:27:43,2024-06-14 04:49:20,In Transit,0.9,Neutral,Traffic
S00101,O0203,A0023,R005,W005,2025-04-10 13:40:42,2025-04-20 17:04:57,Delivered,218,Positive,Traffic
S00102,O0041,A0023,R015,W005,2025-06-19 09:52:50,2025-06-20 01:18:33,Delivered,0.6,Positive,Technical Issue
S00103,O0276,A0018,R018,W005,2024-06-28 07:58:44,2024-06-30 13:54:56,Delivered,0,Positive,None
S00104,O0123,A0016,R002,W009,2025-07-09 02:09:37,2025-07-10 01:46:02,Delivered,0.9,Positive,Technical Issue
S00105,O0052,A0027,R011,W008,2025-07-03 21:20:18,2025-07-04 14:21:17,Delivered,1.5,Positive,Traffic
S00106,O0282,A0011,R014,W008,2025-06-21 10:40:02,2025-06-23 00:37:16,Delivered,4.5,Negative,Traffic
S00107,O0148,A0021,R010,W001,2024-02-13 12:23:26,2024-02-14 04:41:39,Delivered,0.2,Positive,Traffic
S00108,O0274,A0048,R002,W003,2024-08-29 18:21:44,2024-09-05 21:50:36,Delivered,152.1,Positive,Traffic
S00109,O0019,A0026,R016,W003,2024-12-03 12:34:32,2024-12-07 13:32:13,Delivered,54.9,Neutral,Traffic
S00110,O0005,A0020,R019,W010,2024-07-23 11:51:35,2024-07-24 06:40:04,Delivered,3.4,Negative,Technical Issue
S00111,O0279,A0034,R016,W003,2025-03-12 12:11:39,2025-03-14 05:13:48,Delivered,0.7,Positive,Traffic
S00112,O0058,A0022,R006,W008,2024-10-04 01:55:58,2024-10-05 23:37:21,Delivered,22,Positive,Weather
S00113,O0008,A0048,R011,W005,2024-08-12 19:17:16,2024-08-13 19:28:10,Delivered,4,Positive,Technical Issue
S00114,O0208,A0028,R017,W006,2024-05-15 01:04:50,2024-05-16 21:59:45,Delivered,1.9,Negative,Traffic
S00115,O0095,A0009,R016,W006,2024-01-30 04:26:53,2024-02-01 01:02:16,Delivered,1.1,Neutral,Traffic
S00116,O0121,A0029,R009,W006,2024-09-04 07:12:16,2024-09-06 03:41:32,Delivered,23.1,Neutral,Weather
S00117,O0006,A0017,R012,W004,2025-04-05 01:45:31,2025-04-07 00:13:46,Delivered,3.7,Positive,Traffic
S00118,O0082,A0026,R017,W005,2024-04-29 07:00:51,2024-05-01 22:22:41,Delivered,0,Positive,None
S00119,O0152,A0024,R020,W004,2024-06-30 23:51:33,2024-07-01 16:51:57,Delivered,1.5,Positive,Weather
S00120,O0233,A0048,R020,W006,2024-02-02 21:40:17,2024-02-11 09:56:34,Delivered,180.6,Positive,Weather
S00121,O0276,A0043,R007,W004,2024-07-03 01:41:42,2024-07-07 07:55:22,Delivered,58.2,Positive,Traffic
S00122,O0042,A0034,R015,W009,2024-03-12 01:28:52,2024-03-12 15:54:55,Delivered,2,Positive,Traffic
S00123,O0289,A0008,R002,W009,2024-08-12 23:01:07,2024-08-14 02:51:15,Delivered,2.2,Positive,Traffic
S00124,O0077,A0011,R011,W009,2025-09-14 11:54:02,2025-09-15 03:40:23,Delivered,0.4,Positive,Traffic
S00125,O0299,A0032,R003,W009,2024-04-23 14:46:22,2024-04-24 19:46:16,Delivered,0.3,Positive,Weather
S00126,O0263,A0027,R015,W010,2024-02-09 07:25:35,2024-02-09 20:41:56,Delivered,1.5,Positive,Weather
S00127,O0158,A0047,R001,W007,2024-08-07 13:01:42,2024-08-09 15:32:39,Delivered,20.5,Positive,Technical Issue
S00128,O0297,A0005,R002,W007,2024-11-17 15:07:27,2024-11-18 16:10:33,Delivered,0.9,Positive,Traffic
S00129,O0031,A0005,R016,W001,2024-09-29 09:06:43,2024-09-30 14:05:17,Delivered,0.6,Positive,Weather
S00130,O0070,A0050,R014,W006,2025-04-18 14:56:46,2025-04-22 15:20:23,Delivered,66.3,Positive,Traffic
S00131,O0194,A0025,R003,W009,2024-03-25 21:34:05,2024-03-29 03:30:59,Delivered,47.7,Positive,Technical Issue
S00132,O0061,A0012,R018,W007,2024-11-21 06:43:03,2024-11-25 07:16:52,Delivered,49,Neutral,Traffic
S00133,O0115,A0001,R001,W005,2025-03-15 03:47:24,2025-03-16 21:40:35,Delivered,0,Positive,None
S00134,O0195,A0015,R008,W008,2024-11-29 03:37:41,2024-11-30 02:48:01,Delivered,1.7,Positive,Weather
S00135,O0058,A0003,R014,W010,2024-09-29 01:19:42,2024-09-30 05:06:57,Delivered,0.1,Positive,Traffic
S00136,O0052,A0039,R002,W008,2025-07-07 18:06:20,2025-07-08 22:42:19,Delivered,0.9,Positive,Technical Issue
S00137,O0023,A0026,R015,W004,2025-08-02 03:32:01,2025-08-05 12:11:45,Delivered,69.7,Neutral,Traffic
S00138,O0029,A0009,R017,W005,2024-04-29 16:31:32,2024-05-01 14:31:43,Delivered,0.8,Neutral,Traffic
S00139,O0165,A0016,R010,W003,2025-07-23 07:01:18,2025-07-23 17:58:12,Returned,0.5,Positive,Weather
S00140,O0154,A0018,R002,W009,2025-09-02 16:08:54,2025-09-03 13:14:39,In Transit,0.2,Positive,Traffic
S00141,O0219,A0036,R016,W001,2024-06-04 15:40:49,2024-06-06 11:45:37,Delivered,2.2,Positive,Technical Issue
S00142,O0269,A0021,R014,W007,2025-01-13 06:44:30,2025-01-14 09:14:01,Delivered,0.4,Neutral,Traffic
S00143,O0276,A0031,R008,W004,2024-06-29 09:15:28,2024-07-02 01:17:27,Delivered,42.4,Positive,Traffic
S00144,O0030,A0036,R014,W007,2024-11-01 11:07:32,2024-11-02 14:01:21,Delivered,0,Positive,None
S00145,O0125,A0017,R007,W006,2025-02-26 14:55:32,2025-03-04 16:54:47,Delivered,112.2,Neutral,Traffic
S00146,O0190,A0006,R018,W004,2024-09-29 14:57:10,2024-10-01 17:10:08,Delivered,4.3,Positive,Technical Issue
S00147,O0021,A0005,R007,W010,2025-08-09 07:48:14,2025-08-11 02:56:33,Delivered,1.3,Positive,Weather
S00148,O0107,A0022,R010,W001,2024-11-26 23:50:52,2024-12-03 08:28:32,Delivered,138.7,Positive,Traffic
S00149,O0061,A0048,R016,W004,2024-11-23 00:05:12,2024-11-26 12:41:22,Delivered,43.9,Positive,Weather
S00150,O0204,A0016,R018,W006,2024-05-01 04:34:30,2024-05-03 03:20:38,Delivered,2.6,Positive,Traffic
S00151,O0184,A0020,R009,W006,2024-03-28 23:49:24,2024-03-29 15:36:12,In Transit,0.4,Positive,Traffic
S00152,O0241,A0049,R011,W004,2025-03-12 20:29:55,2025-03-13 20:25:22,Delivered,1.3,Positive,Traffic
S00153,O0289,A0015,R005,W001,2024-08-11 11:48:13,2024-08-16 16:39:02,In Transit,95.4,Neutral,Technical Issue
S00154,O0297,A0047,R014,W005,2024-11-16 19:56:45,2024-11-18 06:19:01,Delivered,4.6,Positive,Traffic
S00155,O0195,A0037,R008,W008,2024-12-01 21:48:49,2024-12-08 22:45:10,Delivered,152.3,Positive,Traffic
S00156,O0173,A0017,R016,W008,2024-05-13 05:20:56,2024-05-16 21:31:33,Delivered,58.6,Positive,Traffic
S00157,O0181,A0011,R005,W009,2025-04-01 17:31:37,2025-04-12 06:47:18,Delivered,219.2,Neutral,Traffic
S00158,O0278,A0042,R002,W009,2024-06-27 12:22:04,2024-07-01 08:01:17,Delivered,75,Positive,Weather
S00159,O0025,A0049,R001,W007,2025-06-07 16:55:53,2025-06-09 06:27:52,Delivered,1.2,Positive,Traffic
S00160,O0078,A0001,R007,W009,2024-10-01 07:59:20,2024-10-02 22:24:25,Delivered,2.1,Positive,Weather
S00161,O0248,A0043,R016,W001,2024-04-10 18:13:20,2024-04-12 06:39:29,Delivered,0,Neutral,None
S00162,O0007,A0002,R017,W005,2024-06-17 01:49:28,2024-06-19 01:53:44,Delivered,0.3,Positive,Traffic
S00163,O0221,A0012,R004,W002,2024-11-29 12:17:23,2024-12-02 03:32:00,Delivered,0.4,Positive,Traffic
S00164,O0270,A0017,R012,W005,2024-10-12 09:47:15,2024-10-14 05:52:02,Delivered,1.6,Positive,Technical Issue
S00165,O0208,A0030,R019,W004,2024-05-19 18:42:35,2024-05-20 13:48:02,Delivered,0.8,Positive,Traffic
S00166,O0042,A0042,R002,W002,2024-03-10 02:07:03,2024-03-11 01:36:02,Delivered,0,Positive,None
S00167,O0244,A0004,R001,W003,2024-10-29 18:59:52,2024-11-01 21:21:03,Delivered,26.9,Positive,Traffic
S00168,O0170,A0037,R004,W009,2024-07-17 19:09:04,2024-07-20 15:55:28,Delivered,1.3,Positive,Technical Issue
S00169,O0291,A0031,R009,W001,2024-04-07 21:35:15,2024-04-10 00:41:37,Delivered,31.4,Positive,Traffic
S00170,O0289,A0043,R002,W003,2024-08-10 16:13:42,2024-08-14 21:59:08,Delivered,82.9,Positive,Weather
S00171,O0074,A0049,R013,W002,2025-06-27 06:11:57,2025-06-28 16:57:42,Delivered,1.6,Positive,Weather
S00172,O0291,A0025,R018,W006,2024-04-10 16:28:29,2024-04-13 06:37:30,Delivered,19.6,Positive,Traffic
S00173,O0041,A0033,R012,W001,2025-06-14 08:21:07,2025-06-16 17:27:44,Delivered,2.5,Neutral,Technical Issue
S00174,O0039,A0022,R020,W010,2025-09-18 05:50:57,2025-09-28 17:58:43,Delivered,232.6,Positive,Technical Issue
S00175,O0168,A0002,R009,W008,2024-07-11 15:16:47,2024-07-12 15:39:20,Delivered,4.3,Positive,Technical Issue
S00176,O0193,A0028,R006,W010,2024-10-11 08:03:33,2024-10-12 12:56:05,Delivered,4,Neutral,Weather
S00177,O0152,A0016,R003,W002,2024-07-02 00:36:40,2024-07-03 10:23:43,Delivered,1,Positive,Traffic
S00178,O0079,A0048,R013,W006,2024-02-24 07:14:22,2024-02-25 18:58:18,Delivered,3.3,Neutral,Traffic
S00179,O0158,A0029,R012,W005,2024-08-05 17:44:34,2024-08-07 17:11:43,Delivered,6.7,Positive,Weather
S00180,O0221,A0029,R018,W009,2024-11-29 21:43:30,2024-12-01 15:30:21,Delivered,2.1,Neutral,Technical Issue
S00181,O0046,A0023,R018,W002,2025-05-17 05:34:26,2025-05-19 13:05:32,Delivered,14.1,Positive,Weather
S00182,O0198,A0001,R010,W007,2025-06-19 02:48:15,2025-06-22 15:57:33,In Transit,71.5,Negative,Traffic
S00183,O0287,A0016,R019,W009,2025-06-29 00:35:55,2025-06-29 19:31:25,Delivered,0.7,Positive,Weather
S00184,O0138,A0020,R009,W008,2024-03-25 19:25:36,2024-03-26 17:12:02,Delivered,0.1,Positive,Technical Issue
S00185,O0142,A0027,R010,W008,2024-04-28 09:40:53,2024-04-29 03:06:12,Delivered,3.4,Positive,Weather
S00186,O0127,A0047,R016,W010,2025-08-25 07:49:50,2025-08-27 07:52:51,Delivered,1.7,Positive,Weather
S00187,O0070,A0020,R001,W007,2025-04-17 21:11:45,2025-04-19 07:12:25,In Transit,0.1,Positive,Weather
S00188,O0169,A0029,R011,W007,2025-09-01 16:44:33,2025-09-02 15:37:24,Delivered,0.6,Positive,Traffic
S00189,O0165,A0039,R007,W008,2025-07-19 18:30:40,2025-07-27 09:44:47,In Transit,153.7,Positive,Weather
S00190,O0164,A0019,R016,W010,2025-07-22 07:11:42,2025-07-23 23:06:57,Delivered,0,Positive,None
S00191,O0202,A0024,R004,W010,2025-05-24 08:03:21,2025-05-30 13:52:42,Delivered,88,Positive,Weather
S00192,O0093,A0044,R018,W001,2024-12-08 02:57:02,2024-12-14 07:10:40,Delivered,99.5,Negative,Weather
S00193,O0108,A0029,R010,W002,2024-08-10 12:47:24,2024-08-11 04:56:05,Delivered,1,Negative,Technical Issue
S00194,O0156,A0016,R009,W003,2025-04-26 12:09:11,2025-04-28 15:20:51,Delivered,31,Positive,Traffic
S00195,O0038,A0029,R020,W008,2025-05-06 10:36:37,2025-05-07 09:12:16,Delivered,1.5,Negative,Traffic
S00196,O0215,A0035,R002,W006,2024-06-03 09:30:50,2024-06-04 11:40:07,Delivered,1.2,Positive,Weather
S00197,O0044,A0007,R008,W006,2024-03-03 07:53:30,2024-03-04 04:39:55,Delivered,2.1,Positive,Weather
S00198,O0289,A0042,R013,W006,2024-08-11 19:30:56,2024-08-13 13:33:23,Delivered,0.2,Positive,Weather
S00199,O0133,A0015,R017,W009,2025-07-04 22:07:03,2025-07-07 17:49:26,Delivered,1,Positive,Traffic
S00200,O0114,A0029,R012,W007,2024-09-10 02:48:09,2024-09-12 05:27:54,Delivered,2.1,Positive,Weather
S00201,O0078,A0023,R001,W008,2024-09-28 05:09:26,2024-09-29 12:17:14,Delivered,0.2,Positive,Technical Issue
S00202,O0044,A0008,R005,W006,2024-03-03 20:49:33,2024-03-05 06:57:29,Delivered,0.9,Positive,Traffic
S00203,O0106,A0034,R016,W006,2024-10-23 11:12:24,2024-10-25 08:28:57,In Transit,2,Positive,Weather
S00204,O0232,A0021,R003,W005,2024-04-12 20:20:37,2024-04-13 23:25:42,Delivered,3.2,Positive,Traffic
S00205,O0176,A0042,R004,W003,2025-05-09 13:02:03,2025-05-12 09:35:37,Delivered,2.5,Positive,Weather
S00206,O0283,A0011,R011,W009,2025-05-09 07:26:42,2025-05-10 02:05:05,Delivered,1.2,Neutral,Weather
S00207,O0208,A0041,R006,W003,2024-05-20 10:25:06,2024-05-21 21:49:51,Delivered,2.7,Positive,Traffic
S00208,O0015,A0048,R020,W004,2025-01-12 03:29:00,2025-01-13 04:29:34,Delivered,1.7,Neutral,Traffic
S00209,O0003,A0046,R007,W004,2025-03-10 03:26:05,2025-03-11 16:29:29,Delivered,1,Positive,Traffic
S00210,O0275,A0012,R012,W006,2024-10-11 21:55:36,2024-10-14 06:37:30,Delivered,2.3,Positive,Traffic
S00211,O0251,A0034,R011,W010,2025-03-05 04:39:06,2025-03-06 00:46:04,Delivered,0,Positive,Traffic
S00212,O0059,A0023,R012,W008,2025-07-28 00:00:01,2025-07-30 17:12:20,Delivered,22.9,Positive,Traffic
S00213,O0153,A0040,R019,W002,2025-07-10 22:28:48,2025-07-11 18:31:35,Delivered,1.1,Positive,Weather
S00214,O0123,A0020,R004,W003,2025-07-09 08:04:49,2025-07-11 12:42:42,Delivered,1.8,Positive,Technical Issue
S00215,O0215,A0039,R005,W010,2024-06-01 05:22:05,2024-06-02 12:07:02,Delivered,1.4,Positive,Traffic
S00216,O0276,A0045,R006,W009,2024-06-28 21:49:46,2024-06-30 03:53:51,Delivered,0,Positive,None
S00217,O0096,A0021,R015,W010,2024-09-28 14:27:53,2024-10-03 18:53:25,Delivered,107.3,Positive,Traffic
S00218,O0249,A0009,R007,W007,2025-03-31 19:37:01,2025-04-02 06:06:04,Delivered,0.2,Positive,Traffic
S00219,O0210,A0044,R016,W007,2024-06-17 03:28:26,2024-06-18 14:36:24,Delivered,0.1,Neutral,Technical Issue
S00220,O0043,A0037,R001,W004,2024-08-25 22:36:53,2024-08-27 18:08:02,Delivered,0.5,Positive,Traffic
S00221,O0276,A0019,R006,W008,2024-07-01 22:02:09,2024-07-03 02:14:32,Delivered,0.3,Negative,Traffic
S00222,O0058,A0037,R004,W005,2024-10-03 05:55:23,2024-10-06 02:07:34,In Transit,2,Positive,Weather
S00223,O0022,A0049,R015,W009,2025-04-15 20:40:51,2025-04-16 16:43:59,Delivered,5.8,Positive,Weather
S00224,O0127,A0020,R002,W008,2025-08-23 13:24:08,2025-08-26 11:45:16,Delivered,47.2,Negative,Weather
